site,variable,variable_type,n_depths,depth_range,n_members,horizon_days,mean_pred,prop_na
fcre,CAR_ch4,state,11,0 - 9,221,35,4.3660205186981536,0
bvre,CAR_dic,state,24,0 - 13,221,35,237.93057969589333,0
fcre,CAR_dic,state,11,0 - 9,221,35,81.02592392787008,0
bvre,Chla_ugL_mean,state,24,0 - 13,221,35,4.3081634501675,0
fcre,Chla_ugL_mean,state,11,0 - 9,221,35,10.724077773792866,0
bvre,DO_mgL_mean,state,24,0 - 13,221,35,141.54693472801492,0
fcre,DO_mgL_mean,state,11,0 - 9,221,35,101.4113380760901,0
bvre,NIT_amm,state,24,0 - 13,221,35,0.6409489242114957,0
fcre,NIT_amm,state,11,0 - 9,221,35,16.942956559711774,0
bvre,NIT_nit,state,24,0 - 13,221,35,0.01399980146724937,0
fcre,NIT_nit,state,11,0 - 9,221,35,0.41159212450947963,0
bvre,OGM_doc,state,24,0 - 13,221,35,21.50559364409309,0
fcre,OGM_doc,state,11,0 - 9,221,35,16.747845672139608,0
fcre,OGM_docr,state,11,0 - 9,221,35,266.4521674139466,0
fcre,OGM_don,state,11,0 - 9,221,35,18.632572908502688,0
fcre,OGM_donr,state,11,0 - 9,221,35,172.68774875933443,0
fcre,OGM_dop,state,11,0 - 9,221,35,0.7256490429575135,0
fcre,OGM_dopr,state,11,0 - 9,221,35,7.853384458113681,0
fcre,OGM_poc,state,11,0 - 9,221,35,68.76438430673245,0
fcre,OGM_pon,state,11,0 - 9,221,35,31.569460335453137,0
fcre,OGM_pop,state,11,0 - 9,221,35,12.127705271461505,0
bvre,PHS_frp,state,24,0 - 13,221,35,1.083664379397209,0
fcre,PHS_frp,state,11,0 - 9,221,35,0.04580395286639692,0
bvre,PHY_cyano,state,24,0 - 13,221,35,38.04964889391073,0
fcre,PHY_cyano,state,11,0 - 9,221,35,10.64365247502693,0
bvre,PHY_cyano_IN,state,24,0 - 13,221,35,0.5084695440645308,0
bvre,PHY_cyano_IP,state,24,0 - 13,221,35,0.05729755171256827,0
bvre,PHY_diatom,state,24,0 - 13,221,35,4.3445583183071195,0
fcre,PHY_diatom,state,11,0 - 9,221,35,7.375779574723247,0
bvre,PHY_diatom_IN,state,24,0 - 13,221,35,0.046130772866379705,0
bvre,PHY_diatom_IP,state,24,0 - 13,221,35,0.009907552946706834,0
bvre,PHY_green,state,24,0 - 13,221,35,4.142871373476987,0
fcre,PHY_green,state,11,0 - 9,221,35,18.795795711257302,0
bvre,PHY_green_IN,state,24,0 - 13,221,35,0.03990955049574638,0
bvre,PHY_green_IP,state,24,0 - 13,221,35,0.009517867531276963,0
bvre,Rdom_minerl,parameter,0,no depth (whole-lake / surface),221,35,0.004999999996895592,0
fcre,Rdom_minerl,parameter,0,no depth (whole-lake / surface),221,35,0.004999999996895592,0
bvre,SIL_rsi,state,24,0 - 13,221,35,300.8575010835461,0
fcre,SIL_rsi,state,11,0 - 9,221,35,138.2780775797212,0
bvre,ZOO_cladoceran,state,24,0 - 13,221,35,1.9920799570713525,0
bvre,ZOO_copepod,state,24,0 - 13,221,35,44.464563123850766,0
bvre,ZOO_rotifer,state,24,0 - 13,221,35,4.184695591913893,0
fcre,ch4_flux_mean,diagnostic,0,no depth (whole-lake / surface),221,35,0.697360239890256,0.027777777777777776
fcre,co2_flux_mean,diagnostic,0,no depth (whole-lake / surface),221,35,0.9856273426317579,0.027777777777777776
bvre,extc,diagnostic,24,0 - 13,221,35,1.1845800915849094,0.027777777777777776
fcre,extc,diagnostic,11,0 - 9,221,35,0.9629352733880996,0.027777777777777776
bvre,fDOM_QSU_mean,state,24,0 - 13,221,35,21.50559364409309,0
fcre,fDOM_QSU_mean,state,11,0 - 9,221,35,283.2000130860862,0
fcre,oxy_mean,diagnostic,0,no depth (whole-lake / surface),221,35,180.84458015079394,0.027777777777777776
bvre,secchi,state,0,no depth (whole-lake / surface),221,35,1.1226869791356788,0.027777777777777776
fcre,secchi,state,0,no depth (whole-lake / surface),221,35,1.4786440893738588,0.027777777777777776
