flare_variable,vera_variable,conversion,obs_source,obs_site50,site,in_flare,variable_type,n_depths,depth_range,n_members,horizon_days,mean_pred,prop_na,n_obs,first_obs,last_obs,n_obs_depths,obs_depths,has_targets,usable
Chla_ugL_mean,Chla_ugL_mean,none (>20 ugL at 1.6m = Bloom_binary_mean),exo_daily (catwalk EDI 271/725),TRUE,bvre,TRUE,state,24,0 - 13,221,35,4.3081634501675,0,2163,2020-06-25,2026-08-22,1,1.5,TRUE,TRUE
CAR_dic,DIC_mgL_sample,/1000/(1/52.515),chemistry_daily (Site==50),TRUE,bvre,TRUE,state,24,0 - 13,221,35,237.93057969589333,0,758,2018-05-04,2024-12-03,13,"0.1, 1.5, 1.6, 3, 5, 6, 7, 7.5, 8, 9, 10, 10.5, 11",TRUE,TRUE
DO_mgL_mean,DO_mgL_mean,already converted by FLARE,exo_daily (catwalk EDI 271/725),TRUE,bvre,TRUE,state,24,0 - 13,221,35,141.54693472801492,0,6652,2020-06-19,2026-08-22,4,"1.5, 6, 8, 13",TRUE,TRUE
NIT_amm,NH4_ugL_sample,/1000/0.001/(1/18.04),chemistry_daily (Site==50),TRUE,bvre,TRUE,state,24,0 - 13,221,35,0.6409489242114957,0,1169,2014-04-04,2024-12-03,15,"0.1, 1.5, 1.6, 3, 4, 5, 6, 7, 7.5, 8, 9, 10, 10.5, 11, 12",TRUE,TRUE
NIT_nit,NO3NO2_ugL_sample,/1000/0.001/(1/62.00),chemistry_daily (Site==50),TRUE,bvre,TRUE,state,24,0 - 13,221,35,0.01399980146724937,0,1167,2014-04-04,2024-12-03,15,"0.1, 1.5, 1.6, 3, 4, 5, 6, 7, 7.5, 8, 9, 10, 10.5, 11, 12",TRUE,TRUE
PHS_frp,SRP_ugL_sample,/1000/0.001/(1/94.9714),chemistry_daily (Site==50),TRUE,bvre,TRUE,state,24,0 - 13,221,35,1.083664379397209,0,1161,2014-04-04,2024-12-03,15,"0.1, 1.5, 1.6, 3, 4, 5, 6, 7, 7.5, 8, 9, 10, 10.5, 11, 12",TRUE,TRUE
secchi,Secchi_m_sample,none (derived from extc),"secchi_daily (Site==""50"")",TRUE,bvre,TRUE,state,0,no depth (whole-lake / surface),221,35,1.1226869791356788,0.027777777777777776,297,2013-08-30,2026-08-10,1,,TRUE,TRUE
fDOM_QSU_mean,fDOM_QSU_mean,(151.3407 + prediction)/29.62654,exo_daily (catwalk EDI 271/725),TRUE,bvre,TRUE,state,24,0 - 13,221,35,21.50559364409309,0,2163,2020-06-25,2026-08-22,1,1.5,TRUE,TRUE
CAR_ch4,CH4_umolL_sample,none,ghg_daily (Site==50),TRUE,bvre,FALSE,NA,NA,NA,NA,NA,NA,NA,1135,2015-07-09,2026-08-03,15,"0.1, 1, 1.6, 2, 3, 4, 5, 5.6, 5.75, 6, 7, 8, 9, 10, 11",TRUE,FALSE
oxy_mean,DO_mgL_mean,"/1000*32, forced to depth 1.6, datetime - 1 day",exo_daily (catwalk EDI 271/725),TRUE,bvre,FALSE,NA,NA,NA,NA,NA,NA,NA,6652,2020-06-19,2026-08-22,4,"1.5, 6, 8, 13",TRUE,FALSE
CAR_ch4,CH4_umolL_sample,none,ghg_daily (Site==50),TRUE,fcre,TRUE,state,11,0 - 9,221,35,4.3660205186981536,0,2739,2015-03-31,2026-08-10,11,"0.1, 1.6, 3.2, 3.8, 3.9, 5, 6, 6.2, 6.3, 8, 9",TRUE,TRUE
Chla_ugL_mean,Chla_ugL_mean,none (>20 ugL at 1.6m = Bloom_binary_mean),exo_daily (catwalk EDI 271/725),TRUE,fcre,TRUE,state,11,0 - 9,221,35,10.724077773792866,0,2885,2018-08-06,2026-08-22,1,1.6,TRUE,TRUE
CAR_dic,DIC_mgL_sample,/1000/(1/52.515),chemistry_daily (Site==50),TRUE,fcre,TRUE,state,11,0 - 9,221,35,81.02592392787008,0,1730,2018-01-15,2025-01-27,10,"0.1, 1.6, 3.8, 4.5, 5, 6.2, 8, 9, 9.5, 10",TRUE,TRUE
oxy_mean,DO_mgL_mean,"/1000*32, forced to depth 1.6, datetime - 1 day",exo_daily (catwalk EDI 271/725),TRUE,fcre,TRUE,diagnostic,0,no depth (whole-lake / surface),221,35,180.84458015079394,0.027777777777777776,8721,2018-07-06,2026-08-22,3,"1.6, 5, 9",TRUE,TRUE
DO_mgL_mean,DO_mgL_mean,already converted by FLARE,exo_daily (catwalk EDI 271/725),TRUE,fcre,TRUE,state,11,0 - 9,221,35,101.4113380760901,0,8721,2018-07-06,2026-08-22,3,"1.6, 5, 9",TRUE,TRUE
NIT_amm,NH4_ugL_sample,/1000/0.001/(1/18.04),chemistry_daily (Site==50),TRUE,fcre,TRUE,state,11,0 - 9,221,35,16.942956559711774,0,3050,2013-06-27,2025-01-27,16,"0.1, 0.8, 1.6, 2.8, 3.8, 4.5, 5, 5.2, 5.5, 5.8, 6, 6.2, 8, 9, 9.5, 10",TRUE,TRUE
NIT_nit,NO3NO2_ugL_sample,/1000/0.001/(1/62.00),chemistry_daily (Site==50),TRUE,fcre,TRUE,state,11,0 - 9,221,35,0.41159212450947963,0,3039,2013-06-27,2025-01-27,16,"0.1, 0.8, 1.6, 2.8, 3.8, 4.5, 5, 5.2, 5.5, 5.8, 6, 6.2, 8, 9, 9.5, 10",TRUE,TRUE
PHS_frp,SRP_ugL_sample,/1000/0.001/(1/94.9714),chemistry_daily (Site==50),TRUE,fcre,TRUE,state,11,0 - 9,221,35,0.04580395286639692,0,3044,2013-06-27,2025-01-27,16,"0.1, 0.8, 1.6, 2.8, 3.8, 4.5, 5, 5.2, 5.5, 5.8, 6, 6.2, 8, 9, 9.5, 10",TRUE,TRUE
secchi,Secchi_m_sample,none (derived from extc),"secchi_daily (Site==""50"")",TRUE,fcre,TRUE,state,0,no depth (whole-lake / surface),221,35,1.4786440893738588,0.027777777777777776,434,2013-10-16,2026-08-10,1,,TRUE,TRUE
fDOM_QSU_mean,fDOM_QSU_mean,(151.3407 + prediction)/29.62654,exo_daily (catwalk EDI 271/725),TRUE,fcre,TRUE,state,11,0 - 9,221,35,283.2000130860862,0,2876,2018-08-06,2026-08-22,1,1.6,TRUE,TRUE
